ScientificName,Unnamed: 1,aphiaid,lsid,status,scientificName,kingdom,phylum,class,order,family,genus,species,marine,brackish,superclass,subclass,superorder,gigaclass
Synagrops japonicus,,367291,urn:lsid:marinespecies.org:taxname:367291,accepted,Synagrops japonicus,Animalia,Chordata,Teleostei,Acropomatiformes,Acropomatidae,Synagrops,,1,0,,,,
Psenopsis obscura,,219740,urn:lsid:marinespecies.org:taxname:219740,accepted,Psenopsis obscura,Animalia,Chordata,Teleostei,Scombriformes,Centrolophidae,Psenopsis,,1,0,,,,
Chlorophthalmus actifrons,,400341,urn:lsid:marinespecies.org:taxname:400341,unaccepted,Chlorophthalmus acutifrons,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,,1,0,,,,
Polymixia fusca,,274319,urn:lsid:marinespecies.org:taxname:274319,accepted,Polymixia fusca,Animalia,Chordata,Teleostei,Polymixiiformes,Polymixiidae,Polymixia,,1,0,,,,
Hoplostethus melanopus,,217893,urn:lsid:marinespecies.org:taxname:217893,accepted,Hoplostethus melanopus,Animalia,Chordata,Teleostei,Trachichthyiformes,Trachichthyidae,Hoplostethus,,1,0,,,,
Alepocephalus blanfordii,,272841,urn:lsid:marinespecies.org:taxname:272841,accepted,Alepocephalus blanfordii,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,,1,0,,,,
Narcetes stomias,,126706,urn:lsid:marinespecies.org:taxname:126706,accepted,Narcetes stomias,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Narcetes,,1,0,,,,
Lamprogrammus niger,,126672,urn:lsid:marinespecies.org:taxname:126672,accepted,Lamprogrammus niger,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Lamprogrammus,,1,0,,,,
Aphanopus microphthalmus,,219700,urn:lsid:marinespecies.org:taxname:219700,accepted,Aphanopus microphthalmus,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Aphanopus,,1,0,,,,
Bathyuroconger vicinus,,126284,urn:lsid:marinespecies.org:taxname:126284,accepted,Bathyuroconger vicinus,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Bathyuroconger,,1,0,,,,
