ScientificName,
Synagrops japonicus,
Psenopsis obscura,
Chlorophthalmus actifrons,
Polymixia fusca,
Hoplostethus melanopus,
Alepocephalus blanfordii,
Narcetes stomias,
Lamprogrammus niger,
Aphanopus microphthalmus,
Bathyuroconger vicinus,
Bathypterois atricolor,
Gephyroberys darwinii,
Saurida tumbil,
Grammoplites suppositus,
Rexea prometheoides,
Beryx splendens,
Atrobucca nibe,
Nemipterus japonicus,
Pterygotrigla hemistica,
Bembrops caudimacula,
Neoepinnula orientalis,
Physiculus roseus,
Trichurus lepturus,
Hoplostethus rubellopterus,
Satyrichthys milleri,
Ostracoberx dorygenys,
Cubiceps baxteri,
Chlorophthalmus corniger,
Diretmoides veriginae,
Alepocephalus bicolor,
Lamprogrammus fragilis,
Coloconger raniceps,
Xenomystax trucidans,
Bathyclupea elongata,
Talismania longifilis,
Gavialiceps taeniola,
Psenopsis cyanea,
