id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,individualCount,sex,lifeStage,occurrenceStatus,eventID,eventDate,eventTime,habitat,samplingProtocol,waterBody,country,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,scientificNameID,ScientificName
IO/DV/CAR/00127,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/CAR/00127,IO/DV/CAR/00127,1,Female,Adult,present,,03-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti Island, Lakshadweep",2,10,10.86,72.18,,,"P. Purushothaman, CMLRE",19-08-2022,"Holthuis, L. B. (1952). A general revision of the Palaemonidae (crustacea Decapod Natantia) of the Americas. II. The subfamily Palaemonidae. The University of Southern California Press Los Angeles, California, 332",urn:lsid:marinespecies.org:taxname:220131,Harpiliopsis depressa
IO/DV/CAR/00128,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/CAR/00128,IO/DV/CAR/00128,1,Female,Adult,present,,03-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti Island, Lakshadweep",2,10,10.86,72.18,,,"P. Purushothaman, CMLRE",19-08-2022,"Baby, S. T., Ghosh, S., Mohan, G., Cubelio, S. S., & Sudhakar, M. (2016). Occurrence of Marbled Shrimp Saron marmoratus (Olivier, 1811)(Decapoda: Caridea: Hippolytidae) in Lakshadweep Archipelago, India. In Proceedings of the Zoological Society (Vol. 69, No. 1, pp. 157-160). Springer India.",urn:lsid:marinespecies.org:taxname:210450,Saron marmoratus
IO/DV/CAR/00129,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/CAR/00129,IO/DV/CAR/00129,1,Female,Adult,present,,03-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti Island, Lakshadweep",2,10,10.86,72.18,,,"P. Purushothaman, CMLRE",19-08-2022,"Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.",urn:lsid:marinespecies.org:taxname:210623,Coralliocaris superba
IO/DV/CAR/00130,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/CAR/00130,IO/DV/CAR/00130,3,Male,Adult,present,,03-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti Island, Lakshadweep",2,10,10.86,72.18,,,"P. Purushothaman, CMLRE",19-08-2022,"Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.",urn:lsid:marinespecies.org:taxname:210623,Coralliocaris superba
IO/DV/ECD/00232,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00232,IO/DV/ECD/00232,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",12-06-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:1306667,Ophiomastix elegans
IO/DV/ECD/00233,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00233,IO/DV/ECD/00233,1,,Adult,present,,06-11-2019,14:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",20,20,10.866,72.207,,,"Usha VP, CMLRE",12-06-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213217,Ophiarachnella septimspinosa
IO/DV/ECD/00315,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00315,IO/DV/ECD/00315,1,,Adult,present,,06-11-2019,14:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",20,20,10.866,72.207,,,"Usha VP, CMLRE",09-10-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:244144,Ophiothrix (Acanthophiothrix) purpurea
IO/DV/ECD/00336,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00336,IO/DV/ECD/00336,1,,Adult,present,,06-11-2019,14:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",20,20,10.866,72.207,,,"Usha VP, CMLRE",13-10-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:1306667,Ophiomastix elegans
IO/DV/ECD/00350,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00350,IO/DV/ECD/00350,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:367877,Himerometra robustipinna
IO/DV/ECD/00351,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00351,IO/DV/ECD/00351,2,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213596,Dichrometra palmata
